Date;Close;High;Low;Open;Volume
08/12/2023;4.748.816.680.908.200;4.772.307.920.041.650;4.653.252.440.936.200;4.657.750.949.930.050;359224000
11/12/2023;466.094.970.703.125;4.751.315.707.527.430;4.581.279.915.946.560;4.747.317.498.768.800;509728000
12/12/2023;4.763.911.056.518.550;4.764.810.605.776.610;46.028.715.290.198.600;46.028.715.290.198.600;372387000
13/12/2023;48.069.950.103.759.700;4.857.576.068.141.430;4.759.013.074.248.940;47.611.122.768.046.200;447792000
14/12/2023;4.833.184.814.453.120;4.865.172.771.318.970;4.740.419.892.072.770;4.837.183.404.392.980;391232000
15/12/2023;48.871.646.881.103.500;4.938.545.387.287.280;4.810.193.546.895.560;48.175.909.002.325.600;479948000
18/12/2023;50.058.197.021.484.300;5.041.406.234.581.480;4.913.154.694.733.780;4.938.145.307.868.080;412587000
19/12/2023;4.958.537.673.950.190;4.968.134.136.834.570;4.887.664.329.291.060;4.940.544.401.373.600;464444000
20/12/2023;4.809.293.746.948.240;4.998.022.913.479.950;4.807.994.186.204.980;4.963.635.651.535.790;397894000
21/12/2023;4.897.161.102.294.920;49.076.571.148.767;4.840.082.241.502.780;4.879.267.736.467.950;300425000
22/12/2023;4.881.167.221.069.330;4.936.446.221.767.300;4.844.880.569.619.550;4.917.653.306.295.300;252507000
26/12/2023;49.260.498.046.875;49.581.376.676.631.400;4.894.161.756.801.920;48.949.613.984.887.100;244200000
27/12/2023;493.984.489.440.918;49.661.350.703.421;49.066.572.842.938.100;4.949.241.542.635.840;233648000
28/12/2023;4.950.341.033.935.540;4.986.527.396.770.580;4.939.345.101.981.500;4.962.436.711.615.610;246587000
29/12/2023;4.950.341.033.935.540;49.978.234.327.074.200;48.732.699.840.316.700;4.979.430.147.307.110;389293000
02/01/2024;4.814.991.760.253.900;4.927.649.344.260.110;4.757.713.465.197.090;4.922.551.389.912.710;411254000
